AgeMa,CO2lower1s,CO2mean,CO2upper1s
62,272.75,307.375,454.875
62.4,264.65,302.525,442.825
62.8,256.55,297.675,430.775
63.2,277.1895971,327.8141941,468.8246703
63.6,326.5687912,392.9425824,556.974011
64,375.9479853,458.0709707,645.1233516
64.4,425.3271795,523.199359,733.2726923
64.8,474.7063736,588.3277473,821.422033
65.2,502.3801832,626.5317949,877.8856044
65.6,508.3486081,637.8115018,902.6634066
66,514.317033,649.0912088,927.4412088
66.4,520.2854579,660.3709158,952.219011
66.8,526.2538828,671.6506227,976.9968132
67.2,505.1242857,654.6414286,959.6371429
67.6,456.8966667,609.3433333,900.14
68,408.6690476,564.0452381,840.6428571
68.4,360.4414286,518.7471429,781.1457143
68.8,312.2138095,473.4490476,721.6485714
69.2,274.71,436.54,684.37
69.6,247.93,408.02,669.31
70,221.15,379.5,654.25
70.4,194.37,350.98,639.19
70.8,167.59,322.46,624.13
71.2,188.6466667,334.0133333,641.3733333
71.6,257.54,385.64,690.92
72,326.4333333,437.2666667,740.4666667
72.4,395.3266667,488.8933333,790.0133333
72.8,464.22,540.52,839.56
73.2,501.6333333,572.2666667,952.9
73.6,507.5666667,584.1333333,1130.033333
74,513.5,596,1307.166667
74.4,519.4333333,607.8666667,1484.3
74.8,525.3666667,619.7333333,1661.433333
75.2,511.5666667,635.2333333,1719.266667
75.6,478.0333333,654.3666667,1657.8
76,444.5,673.5,1596.333333
76.4,410.9666667,692.6333333,1534.866667
76.8,377.4333333,711.7666667,1473.4
77.2,388.568,727.535,1407.527
77.6,444.3706667,739.9383333,1337.247667
78,500.1733333,752.3416667,1266.968333
78.4,555.976,764.745,1196.689
78.8,611.7786667,777.1483333,1126.409667
79.2,624.246,764.745,1073.969
79.6,593.378,727.535,1039.367
80,562.51,690.325,1004.765
80.4,531.642,653.115,970.163
80.8,500.774,615.905,935.561
81.2,493.356,650.67,1052.634
81.6,509.388,757.41,1321.382
82,525.42,864.15,1590.13
82.4,541.452,970.89,1858.878
82.8,557.484,1077.63,2127.626
83.2,560.948,1080.351667,2132.688667
83.6,551.844,979.055,1874.066
84,542.74,877.7583333,1615.443333
84.4,533.636,776.4616667,1356.820667
84.8,524.532,675.165,1098.198
85.2,516.814,623.105,945.246
85.6,510.482,620.2816667,897.9646667
86,504.15,617.4583333,850.6833333
86.4,497.818,614.635,803.402
86.8,491.486,611.8116667,756.1206667
87.2,500.64,625.8,750.96
87.6,525.28,656.6,787.92
88,549.92,687.4,824.88
88.4,574.56,718.2,861.84
88.8,599.2,749,898.8
89.2,613.584,766.98,920.376
89.6,617.712,772.14,926.568
90,621.84,777.3,932.76
90.4,625.968,782.46,938.952
90.8,630.096,787.62,945.144
91.2,610.0273333,777.93,964.8993333
91.6,565.762,753.39,998.218
92,521.4966667,728.85,1031.536667
92.4,477.2313333,704.31,1064.855333
92.8,432.966,679.77,1098.174
93.2,426.6198391,689.9145211,1151.549203
93.6,458.1928506,734.7435632,1224.980943
94,489.7658621,779.5726054,1298.412682
94.4,521.3388736,824.4016475,1371.844421
94.8,552.9118851,869.2306897,1445.276161
95.2,588.5342759,906.9503448,1465.976414
95.6,628.206046,937.560613,1433.94518
96,667.8778161,968.1708812,1401.913946
96.4,707.5495862,998.7811494,1369.882713
96.8,747.2213563,1029.391418,1337.851479
97.2,758.8515172,1054.351897,1387.402276
97.6,742.440069,1073.662586,1518.535103
98,726.0286207,1092.973276,1649.667931
98.4,709.6171724,1112.283966,1780.800759
98.8,693.2057241,1131.594655,1911.933586
99.2,673.9861111,1121.1,1927.658333
99.6,651.9583333,1080.8,1827.975
100,629.9305556,1040.5,1728.291667
