AgeMa,surfaceTemperature
0,13.8736067120722
0.2,13.7948261761962
0.4,13.7266243085287
0.6,13.672661533853
0.8,13.6363560128621
1,13.6206139426086
1.2,13.6275888063045
1.4,13.6587048581103
1.6,13.7144249451458
1.8,13.7944112720257
2,13.8974913083132
2.2,14.0217483788406
2.4,14.1646952708165
2.6,14.3234026555944
2.8,14.494717743026
3,14.6753866403085
3.2,14.8622349668513
3.4,15.0522352598727
3.6,15.2426980432411
3.8,15.4312401271113
4,15.6158031330333
4.2,15.7947278333243
4.4,15.9665639508032
4.6,16.130210807185
4.8,16.2848106549167
5,16.4296818479997
5.2,16.564310681099
5.4,16.6883989204764
5.6,16.801853357145
5.8,16.9046753390193
6,16.997036974208
6.2,17.0792654629445
6.4,17.1517749842192
6.6,17.2151548075946
6.8,17.2700563605702
7,17.3172460095318
7.2,17.3576196761014
7.4,17.3921358685422
7.6,17.4218194312123
7.8,17.4477486226193
8,17.4710194727282
8.2,17.492690169225
8.4,17.5138014360125
8.6,17.5352595076739
8.8,17.5578779514984
9,17.582357726984
9.2,17.6092347587243
9.4,17.6389687601771
9.6,17.6718450920055
9.8,17.7080697020039
10,17.7477878791235
10.2,17.7911418706781
10.4,17.838240678313
10.6,17.8892280387465
10.8,17.9443532550189
11,18.0039295631137
11.2,18.068345619618
11.4,18.1380324723892
11.6,18.2134440167341
11.8,18.2949868360595
12,18.3829664765434
12.2,18.4774670734824
12.4,18.5783555634961
12.6,18.6851793635654
12.8,18.7971106151914
13,18.9129330619922
13.2,19.0310518854481
13.4,19.149490892192
13.6,19.2659876675468
13.8,19.3780828354582
14,19.4832085812351
14.2,19.5788304492421
14.4,19.6625977292011
14.6,19.7324827363109
14.8,19.7868609073261
15,19.8246337330756
15.2,19.8452418042763
15.4,19.8487331300815
15.6,19.8357295891613
15.8,19.8073615647128
16,19.7652365042471
16.2,19.7113543724713
16.4,19.6480286211785
16.6,19.577721911436
16.8,19.5030496478059
17,19.4266442028614
17.2,19.3510956700573
17.4,19.2788015575652
17.6,19.2119617494714
17.8,19.1524472910269
18,19.1018184418067
18.2,19.0612296009507
18.4,19.0314111842757
18.6,19.0126922582799
18.8,19.0049385574064
19,19.0075914707384
19.2,19.0197073126004
19.4,19.0400019594633
19.6,19.0668740874796
19.8,19.0985461121435
20,19.1331209064209
20.2,19.1687156788779
20.4,19.2035665610658
20.6,19.2360956225518
20.8,19.2650661407831
21,19.2895896542811
21.2,19.3092276851866
21.4,19.3239351156521
21.6,19.334134244265
21.8,19.3405551394226
22,19.3442256425889
22.2,19.3463286369632
22.4,19.3481209607828
22.6,19.3507413074812
22.8,19.3551405107575
23,19.3619148278438
23.2,19.3712748902816
23.4,19.3829771340022
23.6,19.3962845557921
23.8,19.410119923747
24,19.4231262766083
24.2,19.4337435334491
24.4,19.4403740481311
24.6,19.4415811586714
24.8,19.4361360821857
25,19.4231618518277
25.2,19.4021783871224
25.4,19.3731559321515
25.6,19.3365233183431
25.8,19.2930992707242
26,19.2440596673451
26.2,19.1908164617108
26.4,19.1349675508505
26.6,19.0781510717483
26.8,19.0219513777155
27,18.9678085117508
27.2,18.9169654000814
27.4,18.870385868484
27.6,18.8287786210326
27.8,18.7925768094071
28,18.7619342538351
28.2,18.7368179986481
28.4,18.7170304823601
28.6,18.7022761674351
28.8,18.6921747651872
29,18.6863119963511
29.2,18.6842989298565
29.4,18.6857485258641
29.6,18.6903110828993
29.8,18.6976772183798
30,18.7075995541886
30.2,18.7198981499226
30.4,18.7344497770494
30.6,18.7512348778795
30.8,18.7703032949401
31,18.7918210647518
31.2,18.8160626376404
31.4,18.843427902735
31.6,18.874410683179
31.8,18.9096130788698
32,18.9496527461517
32.2,18.995137811179
32.4,19.0466091507909
32.6,19.1044297801625
32.8,19.168769128988
33,19.2395318455344
33.2,19.3163001441886
33.4,19.398389468348
33.6,19.4848413441904
33.8,19.5744513426786
34,19.665915993807
34.2,19.7578983844002
34.4,19.8491538600829
34.6,19.9385794268023
34.8,20.0253461078322
35,20.108906063142
35.2,20.1890448479991
35.4,20.2659045381587
35.6,20.3398786291594
35.8,20.4116658156246
36,20.4821274227059
36.2,20.5522137217194
36.4,20.6229133494331
36.6,20.6952316268683
36.8,20.7700422334464
37,20.8480793811763
37.2,20.9298908984224
37.4,21.0158105659512
37.6,21.1059924155546
37.8,21.2003601094819
38,21.2986869621895
38.2,21.4005549330396
38.4,21.5053973546653
38.6,21.6125410142347
38.8,21.7212277748682
39,21.830632706634
39.2,21.9398746102908
39.4,22.0480427586198
39.6,22.1542487137708
39.8,22.2576151897708
40,22.3573168834572
40.2,22.4525700055341
40.4,22.5426582988208
40.6,22.6270037011337
40.8,22.7050917489042
41,22.7765679438194
41.2,22.8412539696172
41.4,22.8991162874335
41.6,22.9502492763189
41.8,22.9950464698413
42,23.0340982275294
42.2,23.0682008452155
42.4,23.0983571368355
42.6,23.125723412739
42.8,23.1516224680813
43,23.1775029592775
43.2,23.2049149548643
43.4,23.2354606665505
43.6,23.2707548566415
43.8,23.3123846239145
44,23.3617766999003
44.2,23.420230621285
44.4,23.4887957740072
44.6,23.5682298779059
44.8,23.6589700809836
45,23.761080863589
45.2,23.8742879517688
45.4,23.9979547500908
45.6,24.1311459437698
45.8,24.2726802391572
46,24.4211560487217
46.2,24.5750311397056
46.4,24.7327310411001
46.6,24.8927013412922
46.8,25.0533959928725
47,25.2134070939809
47.2,25.3714941644766
47.4,25.5266087784893
47.6,25.6779036468696
47.8,25.8247398263065
48,25.9666276221835
48.2,26.1032265602448
